"name","type","location"
"77ab1f91d42e453b8feb4e1d8a960ee2","microsoft.compute/virtualmachines","centralus"
"77ab1f91d42e453b8feb4e1d8a960ee2-containerRootVolume","microsoft.compute/disks","centralus"
"77ab1f91d42e453b8feb4e1d8a960ee2-osDisk","microsoft.compute/disks","centralus"
"77ab1f91d42e453b8feb4e1d8a960ee2-privateNIC","microsoft.network/networkinterfaces","centralus"
"77ab1f91d42e453b8feb4e1d8a960ee2-publicNIC","microsoft.network/networkinterfaces","centralus"
"84b7159a963741a8b6ac4741bbe99007","microsoft.compute/virtualmachines","centralus"
"84b7159a963741a8b6ac4741bbe99007-containerRootVolume","microsoft.compute/disks","centralus"
"84b7159a963741a8b6ac4741bbe99007-osDisk","microsoft.compute/disks","centralus"
"84b7159a963741a8b6ac4741bbe99007-privateNIC","microsoft.network/networkinterfaces","centralus"
"84b7159a963741a8b6ac4741bbe99007-publicNIC","microsoft.network/networkinterfaces","centralus"
"86437356b2bc4c0980765562242932e5","microsoft.compute/virtualmachines","centralus"
"86437356b2bc4c0980765562242932e5-containerRootVolume","microsoft.compute/disks","centralus"
"86437356b2bc4c0980765562242932e5-osDisk","microsoft.compute/disks","centralus"
"86437356b2bc4c0980765562242932e5-privateNIC","microsoft.network/networkinterfaces","centralus"
"86437356b2bc4c0980765562242932e5-publicNIC","microsoft.network/networkinterfaces","centralus"
"8ce02636429c45d292c6427393b2226b","microsoft.compute/virtualmachines","centralus"
"8ce02636429c45d292c6427393b2226b-containerRootVolume","microsoft.compute/disks","centralus"
"8ce02636429c45d292c6427393b2226b-osDisk","microsoft.compute/disks","centralus"
"8ce02636429c45d292c6427393b2226b-privateNIC","microsoft.network/networkinterfaces","centralus"
"8ce02636429c45d292c6427393b2226b-publicNIC","microsoft.network/networkinterfaces","centralus"
"9611a8264bec4b2c8b6ec9fe35b1bd82","microsoft.compute/virtualmachines","centralus"
"9611a8264bec4b2c8b6ec9fe35b1bd82-containerRootVolume","microsoft.compute/disks","centralus"
"9611a8264bec4b2c8b6ec9fe35b1bd82-osDisk","microsoft.compute/disks","centralus"
"9611a8264bec4b2c8b6ec9fe35b1bd82-privateNIC","microsoft.network/networkinterfaces","centralus"
"9611a8264bec4b2c8b6ec9fe35b1bd82-publicNIC","microsoft.network/networkinterfaces","centralus"
"APIM-Action","microsoft.insights/actiongroups","global"
